date,river,station,water_level_m,danger_level_m
2015-11-08,Adyar,Adayar,12.5,18.0
2015-11-09,Adyar,Adayar,13.8,18.0
2015-11-10,Adyar,Adayar,15.2,18.0
2015-11-11,Adyar,Adayar,16.8,18.0
2015-11-12,Adyar,Adayar,18.5,18.0
2015-11-13,Adyar,Adayar,17.9,18.0
2015-11-14,Adyar,Adayar,16.2,18.0
2015-11-08,Cooum,Koyambedu,9.5,12.0
2015-11-09,Cooum,Koyambedu,10.2,12.0
2015-11-10,Cooum,Koyambedu,10.5,12.0
2015-11-11,Cooum,Koyambedu,11.2,12.0
2015-11-12,Cooum,Koyambedu,12.8,12.0
2015-11-13,Cooum,Koyambedu,12.1,12.0
2015-11-14,Cooum,Koyambedu,11.5,12.0
